VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE,
Dory_OpenField_rat24,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),6.722689076,
Dory_OpenField_rat24,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),593.3573429,
Dory_OpenField_rat25,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),5.362144858,
Dory_OpenField_rat25,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),594.7579032,
Dory_OpenField_rat26,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),26.49059624,
Dory_OpenField_rat26,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),573.5894358,
Dory_OpenField_rat27,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),5.322128852,
Dory_OpenField_rat27,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),594.7579032,
Dory_OpenField_rat28,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),9.083633453,
Dory_OpenField_rat28,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),590.9963986,
Dory_OpenField_rat29,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),10.40416166,
Dory_OpenField_rat29,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),411.0044018,
Dory_OpenField_rat30,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),11.8847539,
Dory_OpenField_rat30,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),708.4033613,
Dory_OpenField_rat31,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),0.040016006,
Dory_OpenField_rat31,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),600.040016,
Dory_OpenField_rat32,Animal_1,Center,Inner,rectangle,TOTAL ROI TIME (S),47.33893557,
Dory_OpenField_rat32,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),552.7410964,
