FEATURE,FEATURE_IMPORTANCE_MEAN,FEATURE_IMPORTANCE_STDEV
Animal_1 three-point convex hull perimeter (mm) Ear_left-Ear_right-Tail_base_FEATURE_SUBSET,0.0015065720743190928,0.004105181466475262
Total_angle_deviation,0.0015042598567782766,0.0020511995515524774
Animal_1 three-point convex hull perimeter (mm) Ear_left-Nose-Lat_left_FEATURE_SUBSET,0.001495838471424573,0.005159359206120682
Angle (degrees) Lat_left-Lat_right-Tail_base_FEATURE_SUBSET,0.001476585835534712,0.0025807417928107685
Angle (degrees) Ear_right-Lat_left-Tail_base_FEATURE_SUBSET,0.0014498494054317555,0.0031993064625426824
Animal_1 four-point convex perimeter (mm) Ear_right-Center-Lat_right-Tail_base_FEATURE_SUBSET,0.0014325344839589578,0.002889465813923451
Animal_1 three-point convex hull perimeter (mm) Ear_left-Nose-Tail_base_FEATURE_SUBSET,0.0014222058537115528,0.0038377818343795374
Nose_movement_M1_sum_5,0.0014182085814460675,0.0032661447649188695
Nose_movement_M1_mean_7.5,0.0014137677422627931,0.003616033570975298
Total_movement_M1_mean_7.5_percentile_rank,0.0014115197304100954,0.0017777743542941634
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Center-Lat_right_FEATURE_SUBSET,0.001408661867207755,0.003118887956110225
Nose_movement_M1_mean_6,0.0014001869193599364,0.00311234768073497
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Nose-Tail_base_FEATURE_SUBSET,0.0013907674720955805,0.0035127518302827776
Angle (degrees) Center-Tail_base-Tail_end_FEATURE_SUBSET,0.0013827396751662589,0.001810690276440413
Nose_movement_M1_mean_5,0.0013800966472533635,0.002631478504599605
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Center-Lat_right_FEATURE_SUBSET,0.0013618979147827228,0.0032451653867922974
Animal_1 three-point convex hull perimeter (mm) Ear_right-Lat_right-Tail_base_FEATURE_SUBSET,0.0013571284692146751,0.0028907910136581672
Sum_probabilities_percentile_rank,0.0013542297881064006,0.0039190806686631025
Animal_1 three-point convex hull perimeter (mm) Ear_right-Center-Lat_right_FEATURE_SUBSET,0.001345801984121606,0.002153936928611247
Angle (degrees) Ear_left-Tail_base-Tail_end_FEATURE_SUBSET,0.00134434985109928,0.0020896571355168547
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Lat_left-Tail_base_FEATURE_SUBSET,0.0013443356754178897,0.004466161209383733
Distance (mm) Tail_base-Ear_left_FEATURE_SUBSET,0.0013431935890046438,0.003189404523558802
Total_movement_M1_mean_6_percentile_rank,0.0013371344438831425,0.0017892171717871113
Nose_movement_M1_median_7.5,0.0013302690579902498,0.002410034235551009
