VIDEO,ANIMAL,BODY-PART,MEASURE,VALUE
08Training_rat01,Animal_1,Nose,Distance (cm),423.96404004952944
08Training_rat01,Animal_1,Nose,Velocity (cm/s),13.029447870341714
09Training_rat07,Animal_1,Nose,Distance (cm),264.46173064849785
09Training_rat07,Animal_1,Nose,Velocity (cm/s),30.73702640920602
09Training_rat13,Animal_1,Nose,Distance (cm),2.158860174350724
09Training_rat13,Animal_1,Nose,Velocity (cm/s),0.05265512620367619
08Training_rat15,Animal_1,Nose,Distance (cm),140.38352238867526
08Training_rat15,Animal_1,Nose,Velocity (cm/s),20.547373481329437
08Training_rat29,Animal_1,Nose,Distance (cm),1045.79041178017
08Training_rat29,Animal_1,Nose,Velocity (cm/s),16.340475184065156
10Training_rat11,Animal_1,Nose,Distance (cm),2763.8363330926472
10Training_rat11,Animal_1,Nose,Velocity (cm/s),15.631925775207426
10Training_rat05,Animal_1,Nose,Distance (cm),1567.5350573186997
10Training_rat05,Animal_1,Nose,Velocity (cm/s),16.35375156654986
01Training_rat19,Animal_1,Nose,Distance (cm),2930.300583470336
01Training_rat19,Animal_1,Nose,Velocity (cm/s),16.730018880485304
01Training_rat31,Animal_1,Nose,Distance (cm),1940.781021835322
01Training_rat31,Animal_1,Nose,Velocity (cm/s),15.416308598942567
01Training_rat25,Animal_1,Nose,Distance (cm),1920.9901910618046
01Training_rat25,Animal_1,Nose,Velocity (cm/s),19.133975593397107
04Training_rat32,Animal_1,Nose,Distance (cm),768.8486179476184
04Training_rat32,Animal_1,Nose,Velocity (cm/s),22.050673967492042
04Training_rat26,Animal_1,Nose,Distance (cm),612.7392112292789
04Training_rat26,Animal_1,Nose,Velocity (cm/s),25.60340713560466
Test_rat23,Animal_1,Nose,Distance (cm),1077.17192957749
Test_rat23,Animal_1,Nose,Velocity (cm/s),11.837054171181208
05Training_rat20,Animal_1,Nose,Distance (cm),250.34322456625506
05Training_rat20,Animal_1,Nose,Velocity (cm/s),20.696119916446985
05Training_rat08,Animal_1,Nose,Distance (cm),1171.444370643229
05Training_rat08,Animal_1,Nose,Velocity (cm/s),93.35258441548096
05Training_rat24,Animal_1,Nose,Distance (cm),0.008812315172259324
05Training_rat24,Animal_1,Nose,Velocity (cm/s),0.000489573065125518
Test_rat27,Animal_1,Nose,Distance (cm),1787.0449761979708
Test_rat27,Animal_1,Nose,Velocity (cm/s),20.11923722240937
04Training_rat22,Animal_1,Nose,Distance (cm),2638.4389155310114
04Training_rat22,Animal_1,Nose,Velocity (cm/s),17.310428541648054
05Training_rat30,Animal_1,Nose,Distance (cm),265.67798884057817
05Training_rat30,Animal_1,Nose,Velocity (cm/s),27.048312731206103
05Training_rat18,Animal_1,Nose,Distance (cm),334.9581106154714
05Training_rat18,Animal_1,Nose,Velocity (cm/s),25.367657475732933
01Training_rat09,Animal_1,Nose,Distance (cm),653.9863188643105
01Training_rat09,Animal_1,Nose,Velocity (cm/s),12.15492875053645
01Training_rat21,Animal_1,Nose,Distance (cm),538.9905735424845
01Training_rat21,Animal_1,Nose,Velocity (cm/s),13.93583550634331
10Training_rat01,Animal_1,Nose,Distance (cm),2599.134852964479
10Training_rat01,Animal_1,Nose,Velocity (cm/s),15.5860381921037
10Training_rat15,Animal_1,Nose,Distance (cm),185.2931901141542
10Training_rat15,Animal_1,Nose,Velocity (cm/s),32.638304261223375
10Training_rat29,Animal_1,Nose,Distance (cm),334.0541801291335
10Training_rat29,Animal_1,Nose,Velocity (cm/s),14.524094788223195
08Training_rat11,Animal_1,Nose,Distance (cm),2941.71495380642
08Training_rat11,Animal_1,Nose,Velocity (cm/s),17.74703759587396
09Training_rat17,Animal_1,Nose,Distance (cm),195.41841854680806
09Training_rat17,Animal_1,Nose,Velocity (cm/s),15.230816948934763
09Training_rat03,Animal_1,Nose,Distance (cm),2166.445227780877
09Training_rat03,Animal_1,Nose,Velocity (cm/s),17.5770504212864
08Training_rat05,Animal_1,Nose,Distance (cm),682.6027442228362
08Training_rat05,Animal_1,Nose,Velocity (cm/s),19.740583939303644
09Training_rat02,Animal_1,Nose,Distance (cm),201.1714019617079
09Training_rat02,Animal_1,Nose,Velocity (cm/s),52.216772309716156
08Training_rat04,Animal_1,Nose,Distance (cm),786.1845688744296
08Training_rat04,Animal_1,Nose,Velocity (cm/s),18.718680211295943
08Training_rat10,Animal_1,Nose,Distance (cm),3892.67846355351
08Training_rat10,Animal_1,Nose,Velocity (cm/s),21.88172479670396
09Training_rat16,Animal_1,Nose,Distance (cm),2327.9346566792087
09Training_rat16,Animal_1,Nose,Velocity (cm/s),12.861517440216623
10Training_rat28,Animal_1,Nose,Distance (cm),221.02643050245152
10Training_rat28,Animal_1,Nose,Velocity (cm/s),20.093311863859228
10Training_rat14,Animal_1,Nose,Distance (cm),174.48751206485784
10Training_rat14,Animal_1,Nose,Velocity (cm/s),25.77791180310801
01Training_rat20,Animal_1,Nose,Distance (cm),594.0413462942597
01Training_rat20,Animal_1,Nose,Velocity (cm/s),18.690895293983104
01Training_rat08,Animal_1,Nose,Distance (cm),204.43522836126417
01Training_rat08,Animal_1,Nose,Velocity (cm/s),17.043640041975177
05Training_rat19,Animal_1,Nose,Distance (cm),200.33879133633363
05Training_rat19,Animal_1,Nose,Velocity (cm/s),23.266055109968246
Test_rat32,Animal_1,Nose,Distance (cm),1680.4447024742808
Test_rat32,Animal_1,Nose,Velocity (cm/s),19.053282781800053
05Training_rat31,Animal_1,Nose,Distance (cm),866.1087989484829
05Training_rat31,Animal_1,Nose,Velocity (cm/s),24.074537718504434
05Training_rat25,Animal_1,Nose,Distance (cm),2987.8305062537647
05Training_rat25,Animal_1,Nose,Velocity (cm/s),16.986130883079177
04Training_rat23,Animal_1,Nose,Distance (cm),132.30066672408225
04Training_rat23,Animal_1,Nose,Velocity (cm/s),17.03118276879362
Test_rat26,Animal_1,Nose,Distance (cm),1642.8220025984494
Test_rat26,Animal_1,Nose,Velocity (cm/s),18.0529890395434
Test_rat30,Animal_1,Nose,Distance (cm),1319.5758236745492
Test_rat30,Animal_1,Nose,Velocity (cm/s),14.828668497908943
Test_rat24,Animal_1,Nose,Distance (cm),1689.2164259378515
Test_rat24,Animal_1,Nose,Velocity (cm/s),18.605200468557864
04Training_rat21,Animal_1,Nose,Distance (cm),443.74895003699083
04Training_rat21,Animal_1,Nose,Velocity (cm/s),12.326359723249745
05Training_rat27,Animal_1,Nose,Distance (cm),788.083868806169
