VIDEO,ANIMAL,BODY-PART,MEASUREMENT,VALUE
09Training_rat07,Animal_1,Center,Distance (cm),150.74246683299097
09Training_rat07,Animal_1,Center,Velocity (cm/s),16.251600785484396
09Training_rat13,Animal_1,Center,Distance (cm),490.2473609333646
09Training_rat13,Animal_1,Center,Velocity (cm/s),12.48779997678407
08Training_rat15,Animal_1,Center,Distance (cm),93.78588183958547
08Training_rat15,Animal_1,Center,Velocity (cm/s),15.28362712244037
08Training_rat29,Animal_1,Center,Distance (cm),659.9667863069794
08Training_rat29,Animal_1,Center,Velocity (cm/s),10.75199994588196
10Training_rat11,Animal_1,Center,Distance (cm),1564.4380718340935
10Training_rat11,Animal_1,Center,Velocity (cm/s),9.064540320330783
10Training_rat05,Animal_1,Center,Distance (cm),864.282382092178
10Training_rat05,Animal_1,Center,Velocity (cm/s),8.81451028077019
01Training_rat19,Animal_1,Center,Distance (cm),1846.9868228629305
01Training_rat19,Animal_1,Center,Velocity (cm/s),10.45061541204054
01Training_rat31,Animal_1,Center,Distance (cm),965.9505453267393
01Training_rat31,Animal_1,Center,Velocity (cm/s),7.8041271179440095
01Training_rat25,Animal_1,Center,Distance (cm),1225.90913487916
01Training_rat25,Animal_1,Center,Velocity (cm/s),13.404568692855449
04Training_rat32,Animal_1,Center,Distance (cm),575.269472026985
04Training_rat32,Animal_1,Center,Velocity (cm/s),16.57302443377393
04Training_rat26,Animal_1,Center,Distance (cm),438.2621230702358
04Training_rat26,Animal_1,Center,Velocity (cm/s),19.189616224886137
Test_rat23,Animal_1,Center,Distance (cm),737.3347033804004
Test_rat23,Animal_1,Center,Velocity (cm/s),8.221770985546762
05Training_rat20,Animal_1,Center,Distance (cm),181.27135678294454
05Training_rat20,Animal_1,Center,Velocity (cm/s),14.067024226558132
05Training_rat08,Animal_1,Center,Distance (cm),113.54976535976292
05Training_rat08,Animal_1,Center,Velocity (cm/s),9.610177288723458
05Training_rat24,Animal_1,Center,Distance (cm),384.4532405581681
05Training_rat24,Animal_1,Center,Velocity (cm/s),21.61714442600085
Test_rat27,Animal_1,Center,Distance (cm),995.9049427259091
Test_rat27,Animal_1,Center,Velocity (cm/s),11.075632485235085
04Training_rat22,Animal_1,Center,Distance (cm),1553.3714978640596
04Training_rat22,Animal_1,Center,Velocity (cm/s),10.742412008157283
05Training_rat30,Animal_1,Center,Distance (cm),224.47827834791806
05Training_rat30,Animal_1,Center,Velocity (cm/s),23.15101706719329
05Training_rat18,Animal_1,Center,Distance (cm),299.9825401711066
05Training_rat18,Animal_1,Center,Velocity (cm/s),21.745561152732595
01Training_rat09,Animal_1,Center,Distance (cm),366.22481511931795
01Training_rat09,Animal_1,Center,Velocity (cm/s),7.212756387963759
01Training_rat21,Animal_1,Center,Distance (cm),337.7273768799603
01Training_rat21,Animal_1,Center,Velocity (cm/s),8.762731052573871
10Training_rat01,Animal_1,Center,Distance (cm),1369.6132342049757
10Training_rat01,Animal_1,Center,Velocity (cm/s),8.173420348190241
10Training_rat15,Animal_1,Center,Distance (cm),91.57898563298333
10Training_rat15,Animal_1,Center,Velocity (cm/s),18.31579712659667
10Training_rat29,Animal_1,Center,Distance (cm),186.59440862763302
10Training_rat29,Animal_1,Center,Velocity (cm/s),9.425037347089123
08Training_rat11,Animal_1,Center,Distance (cm),1779.3070426947845
08Training_rat11,Animal_1,Center,Velocity (cm/s),10.854343384980478
09Training_rat17,Animal_1,Center,Distance (cm),156.14468709922247
09Training_rat17,Animal_1,Center,Velocity (cm/s),13.268543201130123
09Training_rat03,Animal_1,Center,Distance (cm),1305.3777304149548
09Training_rat03,Animal_1,Center,Velocity (cm/s),10.443497264788345
08Training_rat05,Animal_1,Center,Distance (cm),416.0610851004006
08Training_rat05,Animal_1,Center,Velocity (cm/s),12.28737666900579
09Training_rat02,Animal_1,Center,Distance (cm),81.26948516698768
09Training_rat02,Animal_1,Center,Velocity (cm/s),27.341665719583773
08Training_rat04,Animal_1,Center,Distance (cm),543.0647711616688
08Training_rat04,Animal_1,Center,Velocity (cm/s),13.353452241657422
08Training_rat10,Animal_1,Center,Distance (cm),2487.6905067552407
08Training_rat10,Animal_1,Center,Velocity (cm/s),14.069513257463774
09Training_rat16,Animal_1,Center,Distance (cm),1439.668548727509
09Training_rat16,Animal_1,Center,Velocity (cm/s),8.324692893687907
10Training_rat28,Animal_1,Center,Distance (cm),180.90433271878146
10Training_rat28,Animal_1,Center,Velocity (cm/s),21.216287992501456
10Training_rat14,Animal_1,Center,Distance (cm),107.18807416690962
10Training_rat14,Animal_1,Center,Velocity (cm/s),13.97690151935992
01Training_rat20,Animal_1,Center,Distance (cm),390.1228255067673
01Training_rat20,Animal_1,Center,Velocity (cm/s),12.302914999946012
01Training_rat08,Animal_1,Center,Distance (cm),262.6340224528719
01Training_rat08,Animal_1,Center,Velocity (cm/s),26.70682596109919
05Training_rat19,Animal_1,Center,Distance (cm),161.69683191622374
05Training_rat19,Animal_1,Center,Velocity (cm/s),18.471812218942283
Test_rat32,Animal_1,Center,Distance (cm),1061.0064783214941
Test_rat32,Animal_1,Center,Velocity (cm/s),12.176194864147616
05Training_rat31,Animal_1,Center,Distance (cm),408.986439231861
05Training_rat31,Animal_1,Center,Velocity (cm/s),11.720021050542694
05Training_rat25,Animal_1,Center,Distance (cm),2309.943205928073
05Training_rat25,Animal_1,Center,Velocity (cm/s),14.14653964910067
04Training_rat23,Animal_1,Center,Distance (cm),92.01992716897601
04Training_rat23,Animal_1,Center,Velocity (cm/s),12.110373029665936
Test_rat26,Animal_1,Center,Distance (cm),989.3136809867967
Test_rat26,Animal_1,Center,Velocity (cm/s),11.076716794100598
Test_rat30,Animal_1,Center,Distance (cm),868.2959597455659
Test_rat30,Animal_1,Center,Velocity (cm/s),9.67567086748585
Test_rat24,Animal_1,Center,Distance (cm),679.7134384009937
Test_rat24,Animal_1,Center,Velocity (cm/s),7.554573709712636
04Training_rat21,Animal_1,Center,Distance (cm),322.70486105042426
04Training_rat21,Animal_1,Center,Velocity (cm/s),9.412311625014794
05Training_rat27,Animal_1,Center,Distance (cm),607.6775214997499
05Training_rat27,Animal_1,Center,Velocity (cm/s),16.44972170498563
04Training_rat09,Animal_1,Center,Distance (cm),648.367699405417
04Training_rat09,Animal_1,Center,Velocity (cm/s),9.283717937388849
Test_rat18,Animal_1,Center,Distance (cm),1177.0355269266652
Test_rat18,Animal_1,Center,Velocity (cm/s),13.29904357440722
01Training_rat22,Animal_1,Center,Distance (cm),932.1093616049105
01Training_rat22,Animal_1,Center,Velocity (cm/s),8.97435800144007
10Training_rat16,Animal_1,Center,Distance (cm),1002.1796569980559
10Training_rat16,Animal_1,Center,Velocity (cm/s),5.56766476110031
10Training_rat02,Animal_1,Center,Distance (cm),89.15580497390381
10Training_rat02,Animal_1,Center,Velocity (cm/s),22.814550599145207
08Training_rat06,Animal_1,Center,Distance (cm),396.7289762548793
