VIDEO,TIME BIN #,START TIME,END TIME,ANIMAL,BODY-PART,MEASUREMENT,VALUE
01Training_rat01,54,00:00:54.000,00:00:55.000,Animal_1,Center,Movement (cm),3.0689201925316585
01Training_rat01,55,00:00:55.000,00:00:56.000,Animal_1,Center,Movement (cm),1.3152717276148027
01Training_rat01,56,00:00:56.000,00:00:57.000,Animal_1,Center,Movement (cm),2.610641939991985
01Training_rat01,57,00:00:57.000,00:00:58.000,Animal_1,Center,Movement (cm),4.7840185217391
01Training_rat01,58,00:00:58.000,00:00:59.000,Animal_1,Center,Movement (cm),6.039019156677648
01Training_rat01,59,00:00:59.000,00:01:00.000,Animal_1,Center,Movement (cm),2.813931264372907
01Training_rat01,60,00:01:00.000,00:01:01.000,Animal_1,Center,Movement (cm),3.9830164512100517
01Training_rat01,61,00:01:01.000,00:01:02.000,Animal_1,Center,Movement (cm),22.512757819605618
01Training_rat01,62,00:01:02.000,00:01:03.000,Animal_1,Center,Movement (cm),17.940267150596828
01Training_rat01,63,00:01:03.000,00:01:04.000,Animal_1,Center,Movement (cm),8.01075932811572
01Training_rat01,64,00:01:04.000,00:01:05.000,Animal_1,Center,Movement (cm),4.504360337452519
01Training_rat01,65,00:01:05.000,00:01:06.000,Animal_1,Center,Movement (cm),3.0382528358405
01Training_rat01,66,00:01:06.000,00:01:07.000,Animal_1,Center,Movement (cm),3.2007636254876117
01Training_rat01,67,00:01:07.000,00:01:08.000,Animal_1,Center,Movement (cm),8.924228027827896
01Training_rat01,68,00:01:08.000,00:01:09.000,Animal_1,Center,Movement (cm),2.6215506756705005
01Training_rat01,69,00:01:09.000,00:01:10.000,Animal_1,Center,Movement (cm),7.003296846498865
01Training_rat01,70,00:01:10.000,00:01:11.000,Animal_1,Center,Movement (cm),9.561177273085942
01Training_rat01,71,00:01:11.000,00:01:11.959,Animal_1,Center,Movement (cm),8.093081995065527
01Training_rat02,0,00:00:00.000,00:00:01.000,Animal_1,Center,Movement (cm),7.371724871772879
01Training_rat02,1,00:00:01.000,00:00:02.000,Animal_1,Center,Movement (cm),2.5043558973279265
01Training_rat02,2,00:00:02.000,00:00:03.000,Animal_1,Center,Movement (cm),1.7279888837140476
01Training_rat02,3,00:00:03.000,00:00:04.000,Animal_1,Center,Movement (cm),3.4950855624376267
