timepoint,ASO_F_rat13,ASO_F_rat14,ASO_F_rat15,ASO_F_rat16,ASO_F_rat29,ASO_F_rat30,ASO_F_rat31,ASO_F_rat32,ASO_M_rat09,ASO_M_rat10,ASO_M_rat11,ASO_M_rat12,ASO_M_rat25,ASO_M_rat26,ASO_M_rat27,ASO_M_rat28,Control_F_rat05,Control_F_rat06,Control_F_rat07,Control_F_rat08,Control_F_rat21,Control_F_rat22,Control_F_rat23,Control_F_rat24,Control_M_rat01,Control_M_rat02,Control_M_rat03,Control_M_rat04,Control_M_rat17,Control_M_rat18,Control_M_rat19,Control_M_rat20
1,8.5,10.5,7,5.5,7.5,6.5,18.5,19.5,4.5,19.5,8.5,14,12,11,13,10.5,2.5,14,1,7.5,4,11.5,3,11.5,13.5,11,8,16.5,5,10,18,11.5
2,5,3.5,10,7.5,4,2.5,7,16,15,5.5,4,3.5,3,6,8.5,5.5,7,2,7,15,6,12.5,6,7,10.5,4,7,2.5,8.5,7,5,7.5
3,1,6,8.5,3.5,7.5,3.5,5,6,3.5,6,10.5,8,0.5,1.5,16,9,3.5,8.5,4,3.5,5,3.5,5.5,10.5,7.5,16,17.5,0,8,5.5,3.5,7.5
4,2,0,4.5,1,10,2.5,2.5,1,7,2,6.5,4,0,0,5,4.5,5.5,4.5,2,1,12,4.5,2,2.5,1.5,6,9.5,3,8,7.5,1,5.5
5,6.5,1.5,1.5,0.5,5,12,4,9,7.5,0.5,0.5,4.5,0,3.5,6.5,7.5,8,11.5,1.5,4,6,2,3,1.5,9,0,12,3.5,4,8,0,8
Test,0,3,2,1,7,7,4,16,13,0,2,1,2,1,4,1,2,3,9,0,6,1,0,1,0,3,1,6,2,4,2,4
