timepoint,ASO_F_rat13,ASO_F_rat14,ASO_F_rat15,ASO_F_rat16,ASO_F_rat29,ASO_F_rat30,ASO_F_rat31,ASO_F_rat32,ASO_M_rat09,ASO_M_rat10,ASO_M_rat11,ASO_M_rat12,ASO_M_rat25,ASO_M_rat26,ASO_M_rat27,ASO_M_rat28,Control_F_rat05,Control_F_rat06,Control_F_rat07,Control_F_rat08,Control_F_rat21,Control_F_rat22,Control_F_rat23,Control_F_rat24,Control_M_rat01,Control_M_rat02,Control_M_rat03,Control_M_rat04,Control_M_rat17,Control_M_rat18,Control_M_rat19,Control_M_rat20
1,4.433913213679624,3.822767459637886,2.0315347690637156,2.6055874776920467,3.0046936425205466,3.26911425813726,9.274076075839293,6.651653637547815,1.9413232502529576,7.08033089998529,4.790808332682565,7.9340895900668365,8.225755295564106,5.967338403825245,5.7117271277268875,3.1883948040349313,1.5096706882582005,7.159841712021561,1.7229367498023536,5.439294600238084,2.7844423528205064,5.767287531907069,1.6932527748112611,4.513065910617808,5.716231230843997,5.280138705224623,3.5555039108307045,10.884486824101582,2.259505495045296,7.311150556305845,12.97106599760675,3.8735460604286045
2,2.0687105593609525,1.897618746764758,3.6215574423330072,3.2196315940658913,2.3865805348714106,2.1695597133069517,2.2372787303150474,4.831438955785343,4.7055413846710215,1.6794392330803258,2.864347988749395,2.154563976449446,2.0429643557050414,3.060085202459348,2.8918746292677655,1.8623426487540002,3.0791607314194422,1.1664766848428076,3.8352067167464234,8.367258695828557,2.9098095490704536,6.550878749682674,2.2037687653490523,2.6030502915286555,4.409973449272386,1.9528762871449423,2.5919935306023536,1.7361329169459476,4.324246793057552,3.135019487972603,3.222662727639406,2.6832124944803932
3,1.0252604618043382,2.7240179345596323,4.366101810692566,1.5872403476133976,3.203598153857986,1.9606092471812508,2.605519641313335,2.421822263129524,1.366014023125648,2.256304706098592,6.031906750925557,2.746455848716148,1.0272816982167952,1.3095709517046004,4.8809923568602125,3.3595164628410576,2.002293322538193,2.8790386449150702,2.418260775957111,1.5408551361067926,2.610977844409363,2.5827125456914906,2.7603070689252784,2.89845245871523,2.6790043013455467,4.8688082922848785,6.481900831854219,0.6763216955709219,2.7541955114099985,2.042396118317602,2.614941987241341,2.0538031901456018
4,1.3331163913373139,0.5896467980608296,2.268345816252602,0.8844955820180587,3.619688377968895,2.079877438072835,1.6084977039369226,0.981409560472861,2.3406266919335006,1.996053523538576,4.595828764492253,3.5414098788715975,0.947276395396826,0.8714720662853943,2.513288759712826,1.7507552532558628,3.4754563305212494,2.1714732301881625,1.8366681282157882,2.534376146805121,6.232436607136886,2.1516554945335296,1.9257282270345206,1.3535048623479105,2.013133122451033,1.998366608379161,3.018574431335062,2.713019795547449,2.401707384851301,2.646758768218308,0.898213534417132,2.3166389772743528
5,2.498546051201435,1.279954016009994,1.152822587529171,1.1957609144740335,1.8603325707871126,6.626745385708201,1.6843671910936568,2.7734364930892275,2.208581464112024,0.873996018317891,0.8815395215842305,1.6393972269079427,1.3579566861923826,1.6913659228173463,2.858372660920902,2.32429611659377,5.1858358983637505,6.434707501389616,0.964333846591805,2.890769118094645,3.760491049605733,1.3213038293729102,1.845435859617961,1.018729630908032,5.4234999734187666,0.6610151769751987,4.111333686899728,2.84675250965347,1.6966804229447032,2.433313511854703,0.6641454889671103,2.848596840333235
Test,0.770334559322071,2.019975598881498,0.8193613068010969,0.9898857080855439,2.7177660582964718,3.735269976629429,2.335135258671981,5.050836242341019,3.83523684603554,0.5607187809170394,1.8473469498815234,0.6323107197200315,2.140208061924006,1.2027726293688494,1.9880205863487248,0.4668191189750109,1.469382309917844,1.071826893972228,5.465753850863939,0.5567706434821645,3.60249569751693,0.8265280722865449,0.6024277723264987,0.6047329842057777,0.7270865243938904,1.7616586572627335,0.6763278256626768,4.079534471735297,1.0194357167908807,1.7878429242376654,2.0835208609349394,1.40167916548387
