timepoint,ASO_F_rat13,ASO_F_rat14,ASO_F_rat15,ASO_F_rat16,ASO_F_rat29,ASO_F_rat30,ASO_F_rat31,ASO_F_rat32,ASO_M_rat09,ASO_M_rat10,ASO_M_rat11,ASO_M_rat12,ASO_M_rat25,ASO_M_rat26,ASO_M_rat27,ASO_M_rat28,Control_F_rat05,Control_F_rat06,Control_F_rat07,Control_F_rat08,Control_F_rat21,Control_F_rat22,Control_F_rat23,Control_F_rat24,Control_M_rat01,Control_M_rat02,Control_M_rat03,Control_M_rat04,Control_M_rat17,Control_M_rat18,Control_M_rat19,Control_M_rat20
1,39,25.4,11.6,21.18,23.78,16.560000000000002,115.88,68.36,24.64,61.400000000000006,50,103.56,56.74,61.56,67.53999999999999,30.939999999999998,11.059999999999999,54.14,10.08,44.84,27.08,56,12.28,39.36,71.76,61.75,37.5,90.66,15.48,61.18000000000001,132.88,24.740000000000002
2,11.02,8.620000000000001,20.52,16.9,20.68,7.4399999999999995,18.68,24.64,48.04,13.8,20.82,14.08,12,18.8,24.97,12.32,19,8.02,32.1,84.92,26.86,60.08,16.8,18.5,56.18000000000001,14.920000000000002,30.88,13.46,30.7,24.14,22.119999999999997,12.26
3,5.08,16.72,22.42,7.8999999999999995,24.439999999999998,6.18,12.42,12.100000000000001,8.98,10.239999999999998,47.2,20.68,4.32,7.08,25.28,23.52,13.86,25.840000000000003,15.64,11.52,18.94,19.060000000000002,17.02,11.32,20.84,48.16,90.41999999999999,1.24,16.580000000000002,8.46,20.520000000000003,9.32
4,5.24,2.2199999999999998,15.84,3.2,28.240000000000002,9.96,8.8,2.92,16.16,5.24,34.92,15.34,3.48,2.42,13.78,12.84,24.42,18.52,8.94,13.02,59.760000000000005,20.86,9.4,8.52,8.64,7.64,16.5,16.3,11.66,19.52,2.92,6.5600000000000005
5,16.740000000000002,6.42,5.5,6.26,13.280000000000001,89.74000000000001,17.06,16.84,14.46,3.4000000000000004,3.6,10.54,6.66,8.600000000000001,17.8,12.34,53.260000000000005,53.92,5.359999999999999,28.520000000000003,37.16,8.8,15.68,3.7800000000000002,54.019999999999996,0.9,31.24,23.54,7.4399999999999995,9.1,0.9,19.68
Test,2.68,15.96,3,3.76,18,24.52,17,41.52,31.96,0.8,10.64,3.12,11.44,4.16,9.84,1.52,9.96,6.4,32,1.44,26.68,3.36,2.68,2.8,5.24,12.24,2.76,28.04,6.88,11.4,14.08,4.4
