timepoint,ASO_F_rat13,ASO_F_rat14,ASO_F_rat15,ASO_F_rat16,ASO_F_rat29,ASO_F_rat30,ASO_F_rat31,ASO_F_rat32,ASO_M_rat09,ASO_M_rat10,ASO_M_rat11,ASO_M_rat12,ASO_M_rat25,ASO_M_rat26,ASO_M_rat27,ASO_M_rat28,Control_F_rat05,Control_F_rat06,Control_F_rat07,Control_F_rat08,Control_F_rat21,Control_F_rat22,Control_F_rat23,Control_F_rat24,Control_M_rat01,Control_M_rat02,Control_M_rat03,Control_M_rat04,Control_M_rat17,Control_M_rat18,Control_M_rat19,Control_M_rat20
1,46.959999999999994,40.3,14.100000000000001,27.76,27.9,20.36,126.56,74.74,30.4,158.86,55.5,105.10000000000001,65.44,66.2,127.28,41.08,16.34,57.46,14.28,48.32,32.9,81.22,18.46,42.12,83.38,110.02000000000001,55.9,97.78,20.38,70.85999999999999,136.86,28.560000000000002
2,13.76,17.46,22.939999999999998,40.42,23.82,9.46,168.72,29.46,50.76,21.92,25.62,17.02,18.8,25.240000000000002,29,31.96,22.14,43.4,38.56,98.82,28.82,134.1,19.16,20.740000000000002,145.60000000000002,17.9,63.379999999999995,18.34,34.42,27.78,25.32,16.18
3,8.42,21.54,29.96,29.259999999999998,81.9,8.08,107.80000000000001,17.5,10.92,17.04,51.03999999999999,24.38,180.08,11.780000000000001,27.78,27.4,17.68,81.84,18.64,13.46,25.58,104.08000000000001,20.1,15.16,180.08,50.7,109.9,5.84,21.16,14.94,26,12.36
4,8.26,7.74,19.5,123.74000000000001,81.16,12.760000000000002,13.02,5.5600000000000005,18.78,100.03999999999999,101.96,30.979999999999997,180.08,5.78,16.28,27.96,26.96,25.86,11.08,23.28,66.82,41.120000000000005,12.879999999999999,10.66,57.34,10.36,103.64000000000001,24,127.76,62.760000000000005,176.07999999999998,11.18
5,23.759999999999998,9.2,8.82,180.08,40.08,92.08000000000001,21.36,19.4,17.48,159.76,180.08,39.6,177.48000000000002,30.019999999999996,36.94,17.42,56,57.2,7.1,75.92,47.32,17.98,18.82,6.04,110.44,3.74,152.82,46.24,69.62,11.3,8.76,25.1
Test,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08,90.08
