timepoint,ASO_F_rat13,ASO_F_rat14,ASO_F_rat15,ASO_F_rat16,ASO_F_rat29,ASO_F_rat30,ASO_F_rat31,ASO_F_rat32,ASO_M_rat09,ASO_M_rat10,ASO_M_rat11,ASO_M_rat12,ASO_M_rat25,ASO_M_rat26,ASO_M_rat27,ASO_M_rat28,Control_F_rat05,Control_F_rat06,Control_F_rat07,Control_F_rat08,Control_F_rat21,Control_F_rat22,Control_F_rat23,Control_F_rat24,Control_M_rat01,Control_M_rat02,Control_M_rat03,Control_M_rat04,Control_M_rat17,Control_M_rat18,Control_M_rat19,Control_M_rat20
1,3,3,6,2.5,7,4.5,2,6,7,2,4.5,0.5,2,2,4,5,7,2,6,5,3.5,2,7.5,3,2,4.5,3.5,4.5,5,4.5,1,3
2,3,7.5,4,5,4.5,8.5,6,6,3.5,7,4.5,5,7,1.5,5.5,7.5,2,9.5,1.5,2,2.5,4,6,5.5,5,7.5,6,6.5,4.5,6,4.5,5.5
3,10.5,6.5,6,7,4,7,3.5,7.5,8.5,8.5,2,4.5,10.5,9,3,5,5.5,5,5,8,2,1.5,4.5,5,6.5,4.5,3.5,11,2,6.5,4.5,6
4,9.5,11,8,9,3.5,4.5,7,9.5,6,8,2,7.5,11,11,7.5,7,2,5.5,8.5,6,5,2.5,6.5,9,9,7.5,6,6,6.5,7,10.5,3.5
5,8.5,8.5,6,10.5,6.5,5.5,7,4.5,7.5,10.5,10.5,8,11,7.5,5,6,5,2,9.5,6,5,8.5,6,9.5,2,11,3,6.5,7,5.5,11,5
Test,11,8,9,11,3,6,8,3,5,11,7,11,8,10,8,11,9,3,2,11,3,9,11,10,11,8,10,1,9,8,8,8
