timepoint,ASO_F_rat13,ASO_F_rat14,ASO_F_rat15,ASO_F_rat16,ASO_F_rat29,ASO_F_rat30,ASO_F_rat31,ASO_F_rat32,ASO_M_rat09,ASO_M_rat10,ASO_M_rat11,ASO_M_rat12,ASO_M_rat25,ASO_M_rat26,ASO_M_rat27,ASO_M_rat28,Control_F_rat05,Control_F_rat06,Control_F_rat07,Control_F_rat08,Control_F_rat21,Control_F_rat22,Control_F_rat23,Control_F_rat24,Control_M_rat01,Control_M_rat02,Control_M_rat03,Control_M_rat04,Control_M_rat17,Control_M_rat18,Control_M_rat19,Control_M_rat20
1,4.92884803277404,5.032949652059827,2.1086676364136068,2.9042650773969774,3.2277754175738824,3.50530632685538,9.92098815997268,6.973994673179502,2.2447129930716376,16.938440114762187,5.129137839305891,8.03033302727044,8.968792182535301,6.244694019216826,10.188567558806493,3.806213011809101,1.857513864720834,7.291398720430857,1.98736306304472,5.578296111398452,3.1306641353271627,7.8049311561062416,2.14533430182889,4.676223103980579,6.273245526193545,7.980331738736314,4.636971131782912,11.359617164316687,2.5017908624486824,7.89742117615828,13.25153122021348,4.063771742548938
2,2.2084126563770967,2.8078504330695475,3.761585733774205,5.078636453972478,2.5530577229067646,2.3118890275417243,13.476057981198778,5.087888086987796,4.8475437778092765,2.102420500439245,3.0902270967199508,2.3108374723524365,2.641306117114176,3.46455514055278,3.109529409015419,4.197950475627895,3.2831560785912233,6.046256663788274,4.207474923514926,9.003597970759724,3.0346333719741416,13.697190295549522,2.270726964313265,2.757480156189997,11.593357550631538,2.160624329906917,4.049151001198737,2.0307489840077224,4.4813272547290595,3.3653451096700184,3.4257067428019576,2.886113729804803
3,1.2051273585137285,2.9275841982449085,4.901430507664795,2.5222199955049667,9.290609515248462,2.0499205225669916,8.944361667214121,2.6832142856275847,1.4581726342119503,2.7247290566895543,6.173265290925631,2.982759346603066,19.860399092670725,1.7045962856301664,5.0925730232941895,3.6561139465462436,2.2613174057305114,11.388010792171825,2.587313657119168,1.6180608664031566,2.9449388607822016,8.356436573962352,2.9979059739843508,3.0670704351343074,12.161063120678731,4.988741126435113,7.493382155783297,0.9972985969127577,3.0270067977104724,3.2222242932325216,2.991794163211668,2.2087472230188827
4,1.4560634228952518,0.9076382530654719,2.4936197357826355,9.094872939899716,7.692964488782586,2.194968683306386,1.8252206519425624,1.2289967264660464,2.500364477402221,13.610993888159893,11.052270941928835,5.2190227482811595,15.356289074473406,1.0632417619618022,2.6516590862559806,2.779726438381915,3.5890689258688213,2.6637911169090045,1.965314367459456,2.968324336686023,6.901627854087023,3.1865780814620166,2.054246672871188,1.5097827156530368,5.113906955696659,2.166570823027646,9.964548222337882,3.222524339333563,13.645353241990392,7.345844395677219,18.95082650593104,2.851423933115554
5,2.8590139958205594,1.4873906081772814,1.298919907178177,12.209241028627824,4.827465118385013,6.696398538383697,1.9403568279987324,2.829250481288166,2.3920047843540675,13.270741689678001,16.600561141789075,4.762467572032987,18.435894777897214,3.852200869805494,4.139118478096176,2.572228236494447,5.3276743686901895,6.629838176119615,1.1316092098259798,5.93831064623995,4.316685266138427,1.7692419295163713,2.083128344371054,1.0897750185449708,9.998309021188572,0.8521264507044575,15.477046032267102,4.155709644280019,5.8767494423868065,2.7630225718633543,1.347306175950575,3.1172939979952154
Test,10.080418480448863,10.169449573973033,10.702268806156884,8.771950566636372,9.21652312290158,8.682959597455659,8.32590733219918,10.61006478321494,9.623591573780168,10.699187908330448,9.0712736376382,8.551963725163116,11.973230572036108,9.893136809867968,9.959049427259092,8.265112580741057,10.362813484126669,13.320798042863721,10.709276837425723,8.385477279538087,9.913951063988948,6.812987674834918,7.373347033804004,6.797134384009937,9.1216258009393,8.361911697456367,8.778680044969907,9.15416466943376,9.296044059700204,11.770355269266652,9.956422024361244,11.031028616109968
