VIDEO,CLASSIFIER,MEASUREMENT,VALUE
Dory_NPR_P1_rat24,Left,Event count,37
Dory_NPR_P1_rat24,Left,Total event duration (s),43.458
Dory_NPR_P1_rat24,Left,Video length (s),624.833
Dory_NPR_P1_rat24,Right,Event count,43
Dory_NPR_P1_rat24,Right,Total event duration (s),43.667
Dory_NPR_P1_rat24,Right,Video length (s),624.833
Dory_NPR_P1_rat25,Left,Event count,11
Dory_NPR_P1_rat25,Left,Total event duration (s),15.292
Dory_NPR_P1_rat25,Left,Video length (s),624.833
Dory_NPR_P1_rat25,Right,Event count,23
Dory_NPR_P1_rat25,Right,Total event duration (s),25.333
Dory_NPR_P1_rat25,Right,Video length (s),624.833
Dory_NPR_P1_rat26,Left,Event count,21
Dory_NPR_P1_rat26,Left,Total event duration (s),22.542
Dory_NPR_P1_rat26,Left,Video length (s),624.833
Dory_NPR_P1_rat26,Right,Event count,20
Dory_NPR_P1_rat26,Right,Total event duration (s),34.375
Dory_NPR_P1_rat26,Right,Video length (s),624.833
Dory_NPR_P1_rat27,Left,Event count,40
Dory_NPR_P1_rat27,Left,Total event duration (s),40.167
Dory_NPR_P1_rat27,Left,Video length (s),624.833
Dory_NPR_P1_rat27,Right,Event count,45
Dory_NPR_P1_rat27,Right,Total event duration (s),53.583
Dory_NPR_P1_rat27,Right,Video length (s),624.833
Dory_NPR_P1_rat28,Left,Event count,31
Dory_NPR_P1_rat28,Left,Total event duration (s),36.792
Dory_NPR_P1_rat28,Left,Video length (s),624.875
Dory_NPR_P1_rat28,Right,Event count,31
Dory_NPR_P1_rat28,Right,Total event duration (s),47.708
Dory_NPR_P1_rat28,Right,Video length (s),624.875
Dory_NPR_P1_rat29,Left,Event count,20
Dory_NPR_P1_rat29,Left,Total event duration (s),26.958
Dory_NPR_P1_rat29,Left,Video length (s),624.833
Dory_NPR_P1_rat29,Right,Event count,16
Dory_NPR_P1_rat29,Right,Total event duration (s),16.25
Dory_NPR_P1_rat29,Right,Video length (s),624.833
Dory_NPR_P1_rat30,Left,Event count,20
Dory_NPR_P1_rat30,Left,Total event duration (s),25.583
Dory_NPR_P1_rat30,Left,Video length (s),624.833
Dory_NPR_P1_rat30,Right,Event count,26
Dory_NPR_P1_rat30,Right,Total event duration (s),36.083
Dory_NPR_P1_rat30,Right,Video length (s),624.833
Dory_NPR_P1_rat31,Left,Event count,18
Dory_NPR_P1_rat31,Left,Total event duration (s),23.542
Dory_NPR_P1_rat31,Left,Video length (s),624.833
Dory_NPR_P1_rat31,Right,Event count,35
Dory_NPR_P1_rat31,Right,Total event duration (s),32.333
Dory_NPR_P1_rat31,Right,Video length (s),624.833
Dory_NPR_P1_rat32,Left,Event count,29
Dory_NPR_P1_rat32,Left,Total event duration (s),43.542
Dory_NPR_P1_rat32,Left,Video length (s),624.833
Dory_NPR_P1_rat32,Right,Event count,28
Dory_NPR_P1_rat32,Right,Total event duration (s),24.375
Dory_NPR_P1_rat32,Right,Video length (s),624.833
Dory_NPR_P2_rat01,Left,Event count,3
Dory_NPR_P2_rat01,Left,Total event duration (s),2.708
Dory_NPR_P2_rat01,Left,Video length (s),624.875
Dory_NPR_P2_rat01,Right,Event count,7
Dory_NPR_P2_rat01,Right,Total event duration (s),37.792
Dory_NPR_P2_rat01,Right,Video length (s),624.875
Dory_NPR_P2_rat02,Left,Event count,13
Dory_NPR_P2_rat02,Left,Total event duration (s),12.25
Dory_NPR_P2_rat02,Left,Video length (s),624.875
Dory_NPR_P2_rat02,Right,Event count,7
Dory_NPR_P2_rat02,Right,Total event duration (s),5.667
Dory_NPR_P2_rat02,Right,Video length (s),624.875
Dory_NPR_P2_rat03,Left,Event count,15
Dory_NPR_P2_rat03,Left,Total event duration (s),32.917
Dory_NPR_P2_rat03,Left,Video length (s),624.875
Dory_NPR_P2_rat03,Right,Event count,12
Dory_NPR_P2_rat03,Right,Total event duration (s),15.625
Dory_NPR_P2_rat03,Right,Video length (s),624.875
Dory_NPR_P2_rat04,Left,Event count,11
Dory_NPR_P2_rat04,Left,Total event duration (s),9.417
Dory_NPR_P2_rat04,Left,Video length (s),624.833
Dory_NPR_P2_rat04,Right,Event count,6
Dory_NPR_P2_rat04,Right,Total event duration (s),5.042
Dory_NPR_P2_rat04,Right,Video length (s),624.833
Dory_NPR_P2_rat05,Left,Event count,20
Dory_NPR_P2_rat05,Left,Total event duration (s),16.625
Dory_NPR_P2_rat05,Left,Video length (s),624.833
Dory_NPR_P2_rat05,Right,Event count,20
Dory_NPR_P2_rat05,Right,Total event duration (s),17.5
Dory_NPR_P2_rat05,Right,Video length (s),624.833
Dory_NPR_P2_rat06,Left,Event count,24
Dory_NPR_P2_rat06,Left,Total event duration (s),21.625
Dory_NPR_P2_rat06,Left,Video length (s),624.875
Dory_NPR_P2_rat06,Right,Event count,17
Dory_NPR_P2_rat06,Right,Total event duration (s),20.25
Dory_NPR_P2_rat06,Right,Video length (s),624.875
Dory_NPR_P2_rat07,Left,Event count,17
Dory_NPR_P2_rat07,Left,Total event duration (s),17.458
Dory_NPR_P2_rat07,Left,Video length (s),624.875
Dory_NPR_P2_rat07,Right,Event count,12
Dory_NPR_P2_rat07,Right,Total event duration (s),17.208
Dory_NPR_P2_rat07,Right,Video length (s),624.875
Dory_NPR_P2_rat08,Left,Event count,26
Dory_NPR_P2_rat08,Left,Total event duration (s),26.583
Dory_NPR_P2_rat08,Left,Video length (s),624.875
Dory_NPR_P2_rat08,Right,Event count,15
Dory_NPR_P2_rat08,Right,Total event duration (s),13.25
Dory_NPR_P2_rat08,Right,Video length (s),624.875
Dory_NPR_P2_rat09,Left,Event count,10
Dory_NPR_P2_rat09,Left,Total event duration (s),10.042
Dory_NPR_P2_rat09,Left,Video length (s),623.792
Dory_NPR_P2_rat09,Right,Event count,16
Dory_NPR_P2_rat09,Right,Total event duration (s),12.417
Dory_NPR_P2_rat09,Right,Video length (s),623.792
Dory_NPR_P2_rat10,Left,Event count,26
Dory_NPR_P2_rat10,Left,Total event duration (s),21.25
Dory_NPR_P2_rat10,Left,Video length (s),624.875
Dory_NPR_P2_rat10,Right,Event count,9
Dory_NPR_P2_rat10,Right,Total event duration (s),11.625
Dory_NPR_P2_rat10,Right,Video length (s),624.875
Dory_NPR_P2_rat11,Left,Event count,35
Dory_NPR_P2_rat11,Left,Total event duration (s),41.917
Dory_NPR_P2_rat11,Left,Video length (s),624.833
Dory_NPR_P2_rat11,Right,Event count,24
Dory_NPR_P2_rat11,Right,Total event duration (s),25.833
Dory_NPR_P2_rat11,Right,Video length (s),624.833
Dory_NPR_P2_rat12,Left,Event count,16
Dory_NPR_P2_rat12,Left,Total event duration (s),24.792
Dory_NPR_P2_rat12,Left,Video length (s),624.833
Dory_NPR_P2_rat12,Right,Event count,14
Dory_NPR_P2_rat12,Right,Total event duration (s),6.042
Dory_NPR_P2_rat12,Right,Video length (s),624.833
Dory_NPR_P2_rat13,Left,Event count,17
Dory_NPR_P2_rat13,Left,Total event duration (s),18.875
Dory_NPR_P2_rat13,Left,Video length (s),624.833
Dory_NPR_P2_rat13,Right,Event count,8
Dory_NPR_P2_rat13,Right,Total event duration (s),6.833
Dory_NPR_P2_rat13,Right,Video length (s),624.833
Dory_NPR_P2_rat14,Left,Event count,12
Dory_NPR_P2_rat14,Left,Total event duration (s),8.333
Dory_NPR_P2_rat14,Left,Video length (s),624.833
Dory_NPR_P2_rat14,Right,Event count,13
Dory_NPR_P2_rat14,Right,Total event duration (s),8.208
Dory_NPR_P2_rat14,Right,Video length (s),624.833
Dory_NPR_P2_rat15,Left,Event count,22
Dory_NPR_P2_rat15,Left,Total event duration (s),22.458
Dory_NPR_P2_rat15,Left,Video length (s),624.875
Dory_NPR_P2_rat15,Right,Event count,20
Dory_NPR_P2_rat15,Right,Total event duration (s),18.417
Dory_NPR_P2_rat15,Right,Video length (s),624.875
Dory_NPR_P2_rat16,Left,Event count,6
Dory_NPR_P2_rat16,Left,Total event duration (s),5.875
Dory_NPR_P2_rat16,Left,Video length (s),624.875
Dory_NPR_P2_rat16,Right,Event count,4
Dory_NPR_P2_rat16,Right,Total event duration (s),3.708
Dory_NPR_P2_rat16,Right,Video length (s),624.875
Dory_NPR_P2_rat17,Left,Event count,14
Dory_NPR_P2_rat17,Left,Total event duration (s),14.042
Dory_NPR_P2_rat17,Left,Video length (s),624.875
Dory_NPR_P2_rat17,Right,Event count,14
Dory_NPR_P2_rat17,Right,Total event duration (s),16.208
Dory_NPR_P2_rat17,Right,Video length (s),624.875
Dory_NPR_P2_rat18,Left,Event count,10
Dory_NPR_P2_rat18,Left,Total event duration (s),11.333
Dory_NPR_P2_rat18,Left,Video length (s),624.875
Dory_NPR_P2_rat18,Right,Event count,11
Dory_NPR_P2_rat18,Right,Total event duration (s),8.542
Dory_NPR_P2_rat18,Right,Video length (s),624.875
Dory_NPR_P2_rat19,Left,Event count,8
Dory_NPR_P2_rat19,Left,Total event duration (s),5.583
Dory_NPR_P2_rat19,Left,Video length (s),624.833
Dory_NPR_P2_rat19,Right,Event count,8
Dory_NPR_P2_rat19,Right,Total event duration (s),5.417
Dory_NPR_P2_rat19,Right,Video length (s),624.833
Dory_NPR_P2_rat20,Left,Event count,4
Dory_NPR_P2_rat20,Left,Total event duration (s),4.292
Dory_NPR_P2_rat20,Left,Video length (s),624.875
Dory_NPR_P2_rat20,Right,Event count,13
Dory_NPR_P2_rat20,Right,Total event duration (s),6.125
Dory_NPR_P2_rat20,Right,Video length (s),624.875
Dory_NPR_P2_rat21,Left,Event count,17
Dory_NPR_P2_rat21,Left,Total event duration (s),16.042
Dory_NPR_P2_rat21,Left,Video length (s),624.875
Dory_NPR_P2_rat21,Right,Event count,9
Dory_NPR_P2_rat21,Right,Total event duration (s),7.667
Dory_NPR_P2_rat21,Right,Video length (s),624.875
Dory_NPR_P2_rat22,Left,Event count,13
Dory_NPR_P2_rat22,Left,Total event duration (s),13
Dory_NPR_P2_rat22,Left,Video length (s),624.875
Dory_NPR_P2_rat22,Right,Event count,14
Dory_NPR_P2_rat22,Right,Total event duration (s),13
Dory_NPR_P2_rat22,Right,Video length (s),624.875
Dory_NPR_P2_rat23,Left,Event count,6
Dory_NPR_P2_rat23,Left,Total event duration (s),8.833
Dory_NPR_P2_rat23,Left,Video length (s),624.875
Dory_NPR_P2_rat23,Right,Event count,15
Dory_NPR_P2_rat23,Right,Total event duration (s),14.917
Dory_NPR_P2_rat23,Right,Video length (s),624.875
Dory_NPR_P2_rat24,Left,Event count,17
Dory_NPR_P2_rat24,Left,Total event duration (s),24.75
Dory_NPR_P2_rat24,Left,Video length (s),624.833
Dory_NPR_P2_rat24,Right,Event count,23
Dory_NPR_P2_rat24,Right,Total event duration (s),14.208
Dory_NPR_P2_rat24,Right,Video length (s),624.833
Dory_NPR_P2_rat25,Left,Event count,12
Dory_NPR_P2_rat25,Left,Total event duration (s),14.167
Dory_NPR_P2_rat25,Left,Video length (s),624.833
Dory_NPR_P2_rat25,Right,Event count,9
Dory_NPR_P2_rat25,Right,Total event duration (s),13.125
Dory_NPR_P2_rat25,Right,Video length (s),624.833
Dory_NPR_P2_rat26,Left,Event count,15
Dory_NPR_P2_rat26,Left,Total event duration (s),12.875
Dory_NPR_P2_rat26,Left,Video length (s),624.875
Dory_NPR_P2_rat26,Right,Event count,12
Dory_NPR_P2_rat26,Right,Total event duration (s),8.083
Dory_NPR_P2_rat26,Right,Video length (s),624.875
Dory_NPR_P2_rat27,Left,Event count,11
Dory_NPR_P2_rat27,Left,Total event duration (s),6.75
Dory_NPR_P2_rat27,Left,Video length (s),624.833
Dory_NPR_P2_rat27,Right,Event count,6
Dory_NPR_P2_rat27,Right,Total event duration (s),4.583
Dory_NPR_P2_rat27,Right,Video length (s),624.833
Dory_NPR_P2_rat28,Left,Event count,12
Dory_NPR_P2_rat28,Left,Total event duration (s),7.375
Dory_NPR_P2_rat28,Left,Video length (s),624.875
Dory_NPR_P2_rat28,Right,Event count,10
Dory_NPR_P2_rat28,Right,Total event duration (s),7.375
Dory_NPR_P2_rat28,Right,Video length (s),624.875
Dory_NPR_P2_rat29,Left,Event count,7
Dory_NPR_P2_rat29,Left,Total event duration (s),7.375
Dory_NPR_P2_rat29,Left,Video length (s),624.833
Dory_NPR_P2_rat29,Right,Event count,5
Dory_NPR_P2_rat29,Right,Total event duration (s),5.958
Dory_NPR_P2_rat29,Right,Video length (s),624.833
Dory_NPR_P2_rat30,Left,Event count,6
Dory_NPR_P2_rat30,Left,Total event duration (s),6.417
Dory_NPR_P2_rat30,Left,Video length (s),624.833
Dory_NPR_P2_rat30,Right,Event count,12
Dory_NPR_P2_rat30,Right,Total event duration (s),12
Dory_NPR_P2_rat30,Right,Video length (s),624.833
Dory_NPR_P2_rat31,Left,Event count,12
Dory_NPR_P2_rat31,Left,Total event duration (s),8.458
Dory_NPR_P2_rat31,Left,Video length (s),624.875
Dory_NPR_P2_rat31,Right,Event count,10
Dory_NPR_P2_rat31,Right,Total event duration (s),5.792
Dory_NPR_P2_rat31,Right,Video length (s),624.875
Dory_NPR_P2_rat32,Left,Event count,12
Dory_NPR_P2_rat32,Left,Total event duration (s),10.75
Dory_NPR_P2_rat32,Left,Video length (s),624.875
Dory_NPR_P2_rat32,Right,Event count,14
Dory_NPR_P2_rat32,Right,Total event duration (s),13.458
Dory_NPR_P2_rat32,Right,Video length (s),624.875
